"CODIGO","ANO_LETIVO","PERIODO","INSCRITOS","COM_FREQUENCIA","APROVADOS","DEPARTAMENTO"
"EEC308","1992/1993","2S",234,101,101,"DEEC"
"EEC416","1992/1993","1S",52,36,31,"DEEC"
"EEC449","1992/1993","2S",59,46,41,"DEEC"
"EEC506","1992/1993","1S",15,15,10,"DEEC"
"EEC541","1992/1993","2S",45,41,41,"DEEC"
"EM206","1992/1993","2S",255,255,119,"DEMEGI"
"EM405","1992/1993","2S",130,130,88,"DEMEGI"
"EM500","1992/1993","A",21,21,15,"DEMEGI"
"EM521","1992/1993","2S",6,6,1,"DEMEGI"
"EM549","1992/1993","1S",8,8,4,"DEMEGI"
"EM555","1992/1993","2S",10,10,7,"DEMEGI"
"EM568","1992/1993","2S",14,14,8,"DEMEGI"
"EMI211","1992/1993","1S",19,19,13,"DEEC"
"EMI303","1992/1993","1S",22,20,20,"DEM"
"EMI407","1992/1993","12",17,12,12,"DEM"
"EMI500","1992/1993","12",21,16,16,"DEM"
"EMI506","1992/1993","12",24,18,12,"DEM"
"EMM202","1992/1993","1S",48,32,26,"DEMM"
"EMT505","1992/1993","12",10,9,7,"DEMEGI"
"EQ200","1992/1993","12",175,96,80,"DEQ"
"EQ415","1992/1993","1S",6,6,6,"DEQ"
"EQ502","1992/1993","A",56,56,56,"DEQ"
"EQ517","1992/1993","2S",6,6,6,"DEQ"
"EQ512","2001/2002","2S",3,2,2,"DEQ"
"EQ515","2001/2002","2S",8,8,8,"DEQ"
"EQ516","2001/2002","2S",3,2,2,"DEQ"
"EEC500","1994/1995","A",41,35,33,"DEEC"
"EEC530","1994/1995","2S",31,26,26,"DEEC"
"EM402","1994/1995","2S",163,108,92,"DEMEGI"
"EM505","1994/1995","1S",18,16,16,"DEMEGI"
"EM524","1994/1995","1S",4,4,4,"DEMEGI"
"EM563","1994/1995","1S",19,17,17,"DEMEGI"
"EMI526","1994/1995","2S",21,20,19,"DEM"
"EMM305","1994/1995","1S",55,42,32,"DEMM"
"EQ308","1994/1995","2S",208,208,34,"DEQ"
"EMT104","1987/1988","12",2,2,2,"DEMEGI"
"EQ104","1987/1988","1S",11,11,11,"DEMEGI"
"MEA108","1997/1998","12",5,3,3,""
"MEST300","1997/1998","3T",10,9,9,"DEC"
"CPGEA411","1998/1999","12",15,15,14,""
"PMSEG1103","1998/1999","12",4,3,3,""
"EMG1105","2000/2001","1S",55,27,19,"DEMEGI"
"EMI513","2000/2001","1S",20,13,11,"DEM"
"EQ315","1971/1972","12",1,1,1,"DEQ"
"EC202","1973/1974","12",3,3,3,"DEC"
"EC216","1975/1976","12",1,1,1,"DEC"
"EM123","1975/1976","A",1,1,1,"DEMEGI"
"EQ321","1975/1976","12",1,1,1,"DEQ"
"EC211","1977/1978","12",2,2,2,"DEC"
"EQ304","1977/1978","1S",1,1,1,"DEQ"
"EC118","1978/1979","12",8,8,8,"DEC"
"EEC202","1978/1979","1S",1,1,1,"DEEC"
"EC100","1979/1980","12",4,4,4,"DEC"
"EIC2203","2000/2001","2S",84,71,56,""
"EC423","1988/1989","12",1,1,1,"DEC"
"EEC305","1988/1989","1S",21,21,21,"DEEC"
"EEC466","1988/1989","12",4,4,4,"DEEC"
"EMT106","1988/1989","12",3,3,3,"DEMEGI"
"EC422","1989/1990","2S",2,2,2,"DEC"
"EEC211","1989/1990","2S",47,47,47,"DEEC"
"EEC449","1989/1990","2S",2,2,2,"DEEC"
"EM501","1989/1990","1S",1,1,1,"DEMEGI"
"EMI116","1989/1990","12",7,7,7,"DEM"
"EMI310","1989/1990","12",2,2,2,"DEM"
"EQ108","1989/1990","2S",66,66,66,"DEQ"
"EQ511","1989/1990","2S",1,1,1,"DEQ"
"EC525","1990/1991","2S",5,5,5,"DEC"
"EEC523","1990/1991","1S",1,1,1,"DEEC"
"EM204","1990/1991","1S",55,55,55,"DEMEGI"
"EM545","1990/1991","A",3,3,3,"DEMEGI"
"EMI508","1990/1991","12",1,1,1,"DEM"
"EQ203","1990/1991","1S",41,41,41,"DEQ"
"EEC109","1991/1992","2S",142,142,142,"DEEC"
"EEC209","1991/1992","2S",132,132,132,"DEEC"
"EEC428","1991/1992","1S",4,4,4,"DEEC"
"EEC447","1991/1992","1S",3,3,3,"DEEC"
"EM108","1991/1992","2S",124,123,123,"DEMEGI"
"EMI216","1991/1992","12",11,11,11,"DEM"
"EMI505","1991/1992","12",1,1,1,"DEM"
"EMT405","1991/1992","12",3,3,3,"DEMEGI"
"EQ420","1991/1992","2S",1,1,1,"DEQ"
"EC101","1992/1993","12",353,232,108,"DEC"
"EC516","1992/1993","12",34,31,31,"DEC"
"EEC400","1992/1993","1S",60,39,39,"DEEC"
"EEC502","1992/1993","1S",27,22,22,"DEEC"
"EM204","1992/1993","1S",291,183,121,"DEMEGI"
"EM404","1992/1993","1S",116,105,96,"DEMEGI"
"EM545","1992/1993","A",18,18,11,"DEMEGI"
"EMM106","1990/1991","2S",18,18,18,"DEMM"
"EMM109","1990/1991","2S",26,26,26,"DEMM"
"EMT204","1990/1991","12",9,9,9,"DEMEGI"
"EMT208","1990/1991","12",8,8,8,"DEMEGI"
"EMT315","1990/1991","12",4,4,4,"DEMEGI"
"EMT400","1990/1991","12",1,1,1,"DEMEGI"
"EQ104","1990/1991","1S",60,60,60,"DEMEGI"
"EQ108","1990/1991","2S",33,33,33,"DEQ"
"EQ110","1990/1991","12",2,2,2,"DEQ"
"EQ206","1990/1991","2S",41,41,41,"DEQ"
"EQ303","1990/1991","1S",11,11,11,"DEQ"
"EQ310","1990/1991","2S",19,19,19,"DEQ"
"EQ407","1990/1991","2S",1,1,1,"DEQ"
"EQ411","1990/1991","1S",1,1,1,"DEQ"
"EQ502","1990/1991","A",1,1,1,"DEQ"
"MEST101","1990/1991","1T",1,1,1,"DEC"
"MEST104","1990/1991","1T",1,1,1,"DEC"
"MEST107","1990/1991","12",1,1,1,"DEC"
"MEST305","1990/1991","2T",1,1,1,"DEC"
"DEMI6000","1991/1992","12",1,,,""
"EC105","1991/1992","1S",1,1,1,"DEC"
"EC112","1991/1992","12",112,112,112,"DEC"
"EC206","1991/1992","2S",67,66,66,"DEC"
"EC211","1991/1992","12",65,65,65,"DEC"
"EC213","1991/1992","12",101,101,101,"DEC"
"EC302","1991/1992","12",67,67,67,"DEC"
"EC304","1991/1992","1S",1,1,1,"DEC"
"EC314","1991/1992","12",15,15,15,"DEC"
"EC408","1991/1992","12",8,7,7,"DEC"
"EC412","1991/1992","12",22,22,22,"DEC"
"EC414","1991/1992","1S",2,2,2,"DEC"
"EM306","1991/1992","2S",68,68,68,"DEMEGI"
"EM402","1991/1992","2S",8,8,8,"DEMEGI"
"EM404","1991/1992","1S",15,15,15,"DEMEGI"
"EM410","1991/1992","2S",17,17,17,"DEMEGI"
"EM509","1991/1992","1S",1,1,1,"DEMEGI"
"EM517","1991/1992","2S",1,1,1,"DEMEGI"
"EM519","1991/1992","1S",1,1,1,"DEMEGI"
"EM534","1991/1992","1S",1,1,1,"DEMEGI"
"EM563","1991/1992","1S",1,1,1,"DEMEGI"
"EM584","1991/1992","A",1,1,1,"DEMEGI"
"EMI109","1991/1992","2S",7,7,7,"DEM"
"EMI115","1991/1992","12",5,5,5,"DEM"
"EM612","1999/2000","2S",30,23,23,"DEMEGI"
"EM508","2000/2001","1S",26,23,23,"DEMEGI"
"EM304","2000/2001","1S",135,96,78,"DEMEGI"
"EQ300","1987/1988","1S",4,4,4,"DEQ"
"EEC465","1988/1989","12",4,4,4,"DEEC"
"EM103","1988/1989","2S",32,32,32,"DEMEGI"
"EM231","1988/1989","2S",1,1,1,"DEMEGI"
"EC105","1993/1994","1S",138,134,130,"DEC"
"EC408","1993/1994","12",223,149,132,"DEC"
"EC519","1993/1994","12",16,16,13,"DEC"
"EEC103","1993/1994","1S",239,203,146,"DEEC"
"EEC212","1993/1994","2S",253,191,140,"DEEC"
"EEC405","1993/1994","1S",66,52,52,"DEEC"
"EEC442","1993/1994","1S",60,45,36,"DEEC"
"EEC453","1993/1994","2S",50,44,44,"DEEC"
"EEC521","1993/1994","2S",27,23,23,"DEEC"
"EEC533","1993/1994","1S",5,4,4,"DEEC"
"EM509","1993/1994","1S",32,32,22,"DEMEGI"
"EM550","1993/1994","1S",13,12,11,"DEMEGI"
"EMI106","1993/1994","2S",29,22,5,"DEM"
"EMI206","1993/1994","2S",17,17,11,"DEM"
"EMI521","1993/1994","1S",19,11,6,"DEM"
"EMM108","1993/1994","2S",75,47,34,"DEMM"
"EMM202","1993/1994","1S",58,33,17,"DEMM"
"EMM308","1993/1994","2S",33,25,22,"DEMM"
"EMM314","1993/1994","12",38,37,32,"DEMM"
"EQ100","1993/1994","1S",74,72,51,"DEQ"
"EQ105","1993/1994","2S",89,83,65,"DEQ"
"EQ310","1993/1994","2S",90,88,88,"DEQ"
"EQ406","1993/1994","2S",109,109,51,"DEQ"
"EQ507","1993/1994","1S",5,5,5,"DEQ"
"GEI100","1993/1994","1S",36,36,19,"DEMEGI"
"GEI306","1993/1994","1S",36,32,30,"DEMEGI"
"MEEC1010","1993/1994","2S",14,13,13,"DEEC"
"MEEC2060","1993/1994","2S",26,17,17,"DEEC"
"MEST100","1993/1994","3T",12,12,6,"DEC"
"MEST300","1993/1994","3T",12,7,7,"DEC"
"CPGEA105","1994/1995","A",22,15,15,""
"CPGEA401","1994/1995","A",4,1,1,""
"EC510","1994/1995","12",130,122,118,"DEC"
"EC564","1994/1995","2S",51,48,48,"DEC"
"EC579","1994/1995","12",1,1,1,"DEC"
"EEC111","1994/1995","2S",290,183,134,"DEEC"
"EEC412","1994/1995","2S",18,14,14,"DEEC"
"EEC448","1994/1995","2S",48,33,31,"DEEC"
"EEC513","1994/1995","1S",39,38,38,"DEEC"
"EEC536","1994/1995","1S",56,48,46,"DEEC"
"EM101","1994/1995","A",355,354,125,"DEMEGI"
"EM319","1994/1995","1S",262,112,61,"DEMEGI"
"EM504","1994/1995","2S",33,27,24,"DEMEGI"
"EIC4100","2000/2001","1S",54,46,46,"DEEC"
"EMI212","1991/1992","12",10,10,10,"DEM"
"EMI301","1991/1992","12",7,7,7,"DEM"
"EMI306","1991/1992","12",9,9,9,"DEM"
"EMI327","1991/1992","12",11,11,11,"DEM"
"EMI402","1991/1992","12",3,3,3,"DEM"
"EMI411","1991/1992","12",3,3,3,"DEM"
"EMI504","1991/1992","12",2,2,2,"DEM"
"EMI531","1991/1992","12",1,1,1,"DEM"
"EMM103","1991/1992","1S",32,32,32,"DEMM"
"EMM110","1991/1992","2S",18,18,18,"DEMM"
"EMM200","1991/1992","1S",15,15,15,"DEMM"
"EMM401","1991/1992","12",1,1,1,"DEMM"
"EMM404","1991/1992","12",1,1,1,"DEMM"
"EMT303","1991/1992","12",10,10,10,"DEMEGI"
"EMT307","1991/1992","12",7,7,7,"DEMEGI"
"EMT406","1991/1992","12",2,2,2,"DEMEGI"
"EMT408","1991/1992","12",3,3,3,"DEMEGI"
"EMT504","1991/1992","12",1,1,1,"DEMEGI"
"EQ108","1991/1992","2S",16,15,15,"DEQ"
"EQ200","1991/1992","12",60,60,60,"DEQ"
"EQ209","1991/1992","2S",58,58,58,"DEQ"
"EQ305","1991/1992","2S",46,46,46,"DEQ"
"EQ400","1991/1992","1S",3,3,3,"DEQ"
"EQ402","1991/1992","1S",9,9,9,"DEQ"
"EQ406","1991/1992","2S",2,1,1,"DEQ"
"EEC3241","1999/2000","2S",34,28,28,"DEEC"
"EIC3205","2000/2001","2S",71,61,61,""
"EEC4222","2001/2002","2S",108,61,57,"DEEC"
"EMI216","1985/1986","12",2,2,2,"DEM"
"EMI301","1985/1986","12",2,2,2,"DEM"
"EMI303","1985/1986","1S",2,2,2,"DEM"
"EMI311","1985/1986","12",2,2,2,"DEM"
"EMI327","1985/1986","12",1,1,1,"DEM"
"EMI411","1985/1986","12",1,1,1,"DEM"
"EMT103","1985/1986","12",1,1,1,"DEMEGI"
"EMT206","1985/1986","12",1,1,1,"DEMEGI"
"EQ101","1985/1986","1S",4,4,4,"DEQ"
"EQ103","1985/1986","1S",2,2,2,"DEQ"
"EQ112","1985/1986","12",3,3,3,"DEQ"
"EQ305","1985/1986","2S",1,1,1,"DEQ"
"EQ407","1985/1986","2S",2,2,2,"DEQ"
"EC111","1986/1987","12",6,6,6,"DEC"
"EC206","1986/1987","2S",1,1,1,"DEC"
"EC212","1986/1987","12",3,3,3,"DEC"
"EC308","1986/1987","12",4,4,4,"DEC"
"EC409","1986/1987","12",3,3,3,"DEC"
"EC420","1986/1987","12",2,2,2,"DEC"
"EC514","1986/1987","12",1,1,1,"DEC"
"EC533","1986/1987","12",2,2,2,"DEC"
"EEC106","1986/1987","2S",4,4,4,"DEEC"
"EEC111","1986/1987","2S",22,22,22,"DEEC"
"EEC201","1986/1987","1S",8,8,8,"DEEC"
"EEC202","1986/1987","1S",1,1,1,"DEEC"
"EEC301","1986/1987","1S",2,2,2,"DEEC"
"EEC456","1986/1987","12",6,6,6,"DEEC"
"EEC461","1986/1987","12",1,1,1,"DEEC"
"EEC510","1986/1987","2S",1,1,1,"DEEC"
"EM110","1986/1987","A",13,13,13,"DEMEGI"
"EM211","1986/1987","A",11,11,11,"DEMEGI"
"EM312","1986/1987","A",9,9,9,"DEMEGI"
"EM532","1990/1991","1S",2,2,2,"DEMEGI"
"EM535","1990/1991","1S",1,1,1,"DEMEGI"
"EM549","1990/1991","1S",1,1,1,"DEMEGI"
"EM557","1990/1991","2S",3,3,3,"DEMEGI"
"EM578","1990/1991","A",1,1,1,"DEMEGI"
"GEI406","2000/2001","2S",28,22,20,"DEMEGI"
"EC5230","2001/2002","2S",17,16,16,"DEC"
"EC5275","2001/2002","2S",31,29,28,"DEC"
"EM626","2000/2001","2S",10,9,9,"DEMEGI"
"GEI403","2000/2001","1S",33,20,19,"DEMEGI"
"EM523","2000/2001","2S",16,13,13,"DEMEGI"
"EMG2203","2000/2001","2S",48,14,11,"DEM"
"EQ205","1974/1975","1S",2,2,2,"DEQ"
"EC112","1975/1976","12",8,8,8,"DEC"
"EC200","1975/1976","12",1,1,1,"DEC"
"EC300","1975/1976","12",2,2,2,"DEC"
"EC505","1975/1976","12",1,1,1,"DEC"
"EC642","1975/1976","12",1,1,1,"DEC"
"EEC128","1975/1976","12",5,5,5,"DEEC"
"EM115","1975/1976","A",3,3,3,"DEMEGI"
"EQ105","1975/1976","2S",1,1,1,"DEQ"
"EM324","1977/1978","A",2,2,2,"DEMEGI"
"EQ105","1977/1978","2S",1,1,1,"DEQ"
"EQ225","1977/1978","12",1,1,1,"DEQ"
"EQ526","1977/1978","12",1,1,1,"DEQ"
"EC209","1978/1979","2S",3,3,3,"DEC"
"EC410","1978/1979","12",1,1,1,"DEC"
"EC557","1978/1979","12",1,1,1,"DEC"
"EEC204","1978/1979","1S",2,2,2,"DEEC"
"EM115","1978/1979","A",1,1,1,"DEMEGI"
"EM214","1978/1979","A",1,1,1,"DEMEGI"
"EM323","1978/1979","2S",2,2,2,"DEMEGI"
"EQ111","1978/1979","12",2,2,2,"DEQ"
"EQ300","1978/1979","1S",1,1,1,"DEQ"
"EQ408","1978/1979","2S",1,1,1,"DEQ"
"EC117","1979/1980","12",10,10,10,"DEC"
"EC216","1979/1980","12",9,9,9,"DEC"
"EC411","1979/1980","12",1,1,1,"DEC"
"EM590","1980/1981","A",1,1,1,"DEMEGI"
"EQ303","1980/1981","1S",3,3,3,"DEQ"
"EC409","1981/1982","12",4,4,4,"DEC"
"EEC111","1981/1982","2S",6,6,6,"DEEC"
"EEC216","1981/1982","12",5,5,5,"DEEC"
"EM209","1981/1982","A",3,3,3,"DEMEGI"
"EMI115","1981/1982","12",1,1,1,"DEM"
"EQ205","1981/1982","1S",3,3,3,"DEQ"
"EC217","1982/1983","12",8,8,8,"DEC"
"EC508","1982/1983","12",8,8,8,"DEC"
"EEC113","1982/1983","12",10,10,10,"DEEC"
"EEC554","1982/1983","12",1,1,1,"DEEC"
"EM210","1982/1983","A",2,2,2,"DEMEGI"
"EM406","1983/1984","1S",12,12,12,"DEMEGI"
"EM421","1983/1984","A",5,5,5,"DEMEGI"
"EM423","1983/1984","A",2,2,2,"DEMEGI"
"EM424","1983/1984","A",1,1,1,"DEMEGI"
"EM578","1983/1984","A",2,2,2,"DEMEGI"
"EM579","1983/1984","A",1,1,1,"DEMEGI"
"EMI113","1983/1984","12",1,1,1,"DEM"
"EM561","1992/1993","A",17,17,12,"DEMEGI"
"EMI313","1992/1993","2S",4,3,3,"DEM"
"EMI502","1992/1993","12",19,16,11,"DEM"
"EMM107","1992/1993","12",71,35,20,"DEMM"
"EMT302","1992/1993","12",7,4,4,"DEMEGI"
"EQ401","1992/1993","1S",87,74,59,"DEQ"
"EC208","1993/1994","2S",191,140,85,"DEC"
"EMI108","1990/1991","12",7,7,7,"DEM"
"EMI116","1990/1991","12",12,12,12,"DEM"
"EMI219","1990/1991","12",3,3,3,"DEM"
"EMI310","1990/1991","12",5,5,5,"DEM"
"EMI327","1990/1991","12",5,5,5,"DEM"
"EMI408","1990/1991","12",1,1,1,"DEM"
"EMM102","1990/1991","1S",24,24,24,"DEMM"
"EMT105","1990/1991","12",3,3,3,"DEMEGI"
"EMT205","1990/1991","12",5,5,5,"DEMEGI"
"EMT305","1990/1991","12",2,2,2,"DEMEGI"
"EMT401","1990/1991","12",1,1,1,"DEMEGI"
"EMT406","1990/1991","12",3,3,3,"DEMEGI"
"EQ107","1990/1991","2S",70,70,70,"DEQ"
"EQ201","1990/1991","1S",28,28,28,"DEQ"
"EQ209","1990/1991","2S",61,61,61,"DEQ"
"EQ302","1990/1991","1S",23,23,23,"DEQ"
"EQ406","1990/1991","2S",1,1,1,"DEQ"
"EQ412","1990/1991","1S",1,1,1,"DEQ"
"GEI101","1990/1991","1S",13,13,13,"DEMEGI"
"GEI201","1990/1991","A",18,18,18,"DEMEGI"
"MEST102","1990/1991","1T",1,1,1,"DEC"
"DEC6000","1991/1992","12",2,,,""
"DEQ6000","1991/1992","12",3,,,""
"EC100","1991/1992","12",91,91,91,"DEC"
"EC111","1991/1992","12",37,37,37,"DEC"
"EC207","1991/1992","2S",1,1,1,"DEC"
"EC212","1991/1992","12",60,59,59,"DEC"
"EC310","1991/1992","12",79,79,79,"DEC"
"EC409","1991/1992","12",20,20,20,"DEC"
"EC415","1991/1992","12",7,7,7,"DEC"
"EC419","1991/1992","1S",4,4,4,"DEC"
"EC423","1991/1992","12",1,1,1,"DEC"
"EC511","1991/1992","12",1,1,1,"DEC"
"EC515","1991/1992","12",9,9,9,"DEC"
"EC525","1991/1992","2S",8,8,8,"DEC"
"EC530","1991/1992","1S",2,1,1,"DEC"
"EC531","1991/1992","2S",3,2,2,"DEC"
"EEC100","1991/1992","1S",155,155,155,"DEEC"
"EEC104","1991/1992","1S",166,166,166,"DEEC"
"GEI116","2000/2001","1S",45,36,31,"DEMEGI"
"EM565","1999/2000","1S",44,38,38,"DEMEGI"
"GEI205","2000/2001","1S",46,20,6,"DEMEGI"
"EM548","1994/1995","1S",29,26,26,"DEMEGI"
"EM555","1994/1995","2S",24,21,21,"DEMEGI"
"EM561","1994/1995","A",13,12,12,"DEMEGI"
"EM568","1994/1995","2S",18,17,17,"DEMEGI"
"EM569","1994/1995","2S",17,15,15,"DEMEGI"
"EMI102","1994/1995","1S",53,41,22,"DEQ"
"EMI105","1994/1995","1S",42,30,25,"DEMEGI"
"EMI203","1994/1995","1S",25,16,14,"DEM"
"EMI204","1994/1995","1S",48,24,14,"DEM"
"EMI207","1994/1995","1S",32,32,9,"DEM"
"EMI210","1994/1995","2S",29,22,21,"DEM"
"EMI316","1994/1995","1S",20,18,12,"DEM"
"EMI320","1994/1995","2S",15,13,13,"DEM"
"EMI321","1994/1995","2S",23,17,15,"DEM"
"EMI414","1994/1995","1S",11,7,6,"DEM"
"EMI415","1994/1995","1S",18,15,12,"DEM"
"EMI507","1994/1995","1S",16,14,14,"DEM"
"EMI513","1994/1995","1S",19,12,10,"DEM"
"EMI520","1994/1995","1S",30,28,27,"DEM"
"EMI527","1994/1995","2S",22,16,15,"DEM"
"EMM107","1994/1995","12",77,48,40,"DEMM"
"EMM110","1994/1995","2S",76,41,24,"DEMM"
"EMM111","1994/1995","2S",74,29,17,"DEMM"
"EMM204","1994/1995","1S",49,38,30,"DEMM"
"EMM206","1994/1995","2S",53,22,16,"DEMM"
"EMM301","1994/1995","12",39,34,33,"DEMM"
"MPPAU1104","1996/1997","1S",12,11,11,""
"MPPAU2200","1996/1997","2S",11,9,9,""
"MPPAU2207","1996/1997","2S",10,9,9,""
"MTM108","1996/1997","2S",11,11,11,"DEEC"
"CPGEA315","1997/1998","12",2,2,2,""
"CPGEE1012","1997/1998","12",2,2,2,""
"EC537","1993/1994","12",4,4,4,"DEC"
"EEC109","1993/1994","2S",406,182,125,"DEEC"
"EEC306","1993/1994","1S",186,181,178,"DEEC"
"EEC452","1993/1994","2S",52,44,31,"DEEC"
"EEC527","1993/1994","2S",20,17,17,"DEEC"
"EM403","1993/1994","1S",166,166,71,"DEMEGI"
"EM522","1993/1994","2S",13,13,4,"DEMEGI"
"EIC4100","1999/2000","1S",52,46,45,"DEEC"
"EC531","1997/1998","2S",,,,"DEC"
"EIC2102","1997/1998","1S",71,55,43,"DEEC"
"EM112","1997/1998","A",,,,"DEMEGI"
"EM571","1997/1998","A",,,,"DEMEGI"
"EM414","1997/1998","A",,,,"DEMEGI"
"EM110","1997/1998","A",,,,"DEMEGI"
"EM555","1997/1998","2S",,,,"DEMEGI"
"EM538","1997/1998","1S",11,10,10,"DEMEGI"
"EM516","1997/1998","1S",7,6,6,"DEMEGI"
"EM512","1997/1998","A",,,,"DEMEGI"
"EM579","1997/1998","A",,,,"DEMEGI"
"EM427","1997/1998","A",,,,"DEMEGI"
"EM214","1997/1998","A",,,,"DEMEGI"
"EM581","1997/1998","A",,,,"DEMEGI"
"EM308","1997/1998","2S",185,120,91,"DEMEGI"
"EM400","1997/1998","A",141,76,75,"DEMEGI"
"EM125","1997/1998","1S",270,185,119,"DEMEGI"
"EM221","1997/1998","A",,,,"DEMEGI"
"EM588","1997/1998","A",,,,"DEMEGI"
"EM329","1997/1998","A",,,,"DEMEGI"
"EM590","1997/1998","A",,,,"DEMEGI"
"EC327","1997/1998","1S",,,,"DEC"
"EC627","1997/1998","1S",,,,"DEC"
"EC586","1997/1998","1S",,,,"DEC"
"MTM105","1997/1998","2S",5,5,5,"DEEC"
"MEMT129","1997/1998","2S",,,,"DEMM"
"EEC5175","1999/2000","1S",24,21,21,"DEEC"
"EC200","1976/1977","12",7,7,7,"DEC"
"EC206","1976/1977","2S",6,6,6,"DEC"
"EC226","1976/1977","12",1,1,1,"DEC"
"EC310","1976/1977","12",1,1,1,"DEC"
"EC318","1976/1977","12",2,2,2,"DEC"
"EM530","1994/1995","A",26,16,15,"DEMEGI"
"EM542","1994/1995","2S",10,9,9,"DEMEGI"
"EM557","1994/1995","2S",27,26,22,"DEMEGI"
"EMI100","1994/1995","A",32,24,20,"DEM"
"EMI106","1994/1995","2S",39,23,2,"DEM"
"EMI309","1994/1995","2S",23,20,12,"DEM"
"EMI319","1994/1995","2S",27,21,15,"DEM"
"EMI326","1994/1995","2S",12,11,11,"DEM"
"GEI108","2000/2001","2S",58,43,20,"DEMEGI"
"EQ500","1980/1981","A",1,1,1,"DEQ"
"EC117","1981/1982","12",13,13,13,"DEC"
"EC216","1981/1982","12",6,6,6,"DEC"
"MMI1102","2000/2001","1S",12,11,11,"DEMEGI"
"GEI107","2000/2001","2S",49,41,31,"DEMEGI"
"EMM431","2000/2001","2S",48,43,39,"DEMM"
"EMM314","1992/1993","12",16,14,14,"DEMM"
"EMM122","2000/2001","2S",99,39,27,"DEEC"
"EM203","2000/2001","1S",281,141,59,"DEMEGI"
"EQ401","2000/2001","1S",73,55,48,"DEQ"
"EMI511","1994/1995","1S",12,11,11,"DEM"
"EMM208","1994/1995","2S",50,36,19,"DEMM"
"EMM302","1994/1995","1S",57,50,40,"DEMM"
"EMM308","1994/1995","2S",48,41,37,"DEMM"
"EMM422","1994/1995","2S",32,29,22,"DEMM"
"EMT101","1994/1995","12",1,1,1,"DEMEGI"
"EQ107","1994/1995","2S",65,47,37,"DEQ"
"EQ300","1994/1995","1S",181,114,95,"DEQ"
"EQ401","1994/1995","1S",108,105,69,"DEQ"
"EQ501","1994/1995","A",75,73,73,"DEQ"
"GEI105","1994/1995","1S",27,25,23,"DEMEGI"
"GEI206","1994/1995","1S",31,28,24,"DEMEGI"
"GEI400","1994/1995","A",31,26,26,"DEMEGI"
"MEA104","1994/1995","A",36,31,31,""
"MEA308","1994/1995","A",13,9,9,""
"MEA409","1994/1995","A",2,2,2,""
"MEEC1020","1994/1995","2S",1,1,1,"DEEC"
"MEEC2040","1994/1995","1S",22,20,20,"DEEC"
"MEM111","1994/1995","A",6,4,4,"DEMEGI"
"MEM123","1994/1995","A",7,6,4,"DEMEGI"
"MEMI110","1994/1995","A",7,7,7,"DEM"
"MEMI208","1994/1995","A",10,10,10,"DEM"
"MEST303","1994/1995","3T",13,12,12,"DEC"
"MET2106","1994/1995","2S",11,10,10,""
"MPPAU1105","1994/1995","1S",20,18,18,""
"EEC3224","2000/2001","2S",60,45,30,"DEEC"
"EQ300","1986/1987","1S",1,1,1,"DEQ"
"EQ310","1986/1987","2S",2,2,2,"DEQ"
"EQ402","1986/1987","1S",1,1,1,"DEQ"
"EQ520","1986/1987","12",1,1,1,"DEQ"
"EC113","1987/1988","12",24,24,24,"DEC"
"EC308","1987/1988","12",11,11,11,"DEC"
"EMI531","1987/1988","12",2,2,2,"DEM"
"EMT100","1987/1988","12",7,7,7,"DEMEGI"
"EMT204","1987/1988","12",2,2,2,"DEMEGI"
"EQ102","1987/1988","1S",9,9,9,"DEQ"
"EQ108","1987/1988","2S",5,5,5,"DEQ"
"EQ202","1987/1988","1S",5,5,5,"DEQ"
"EQ204","1987/1988","1S",5,5,5,"DEQ"
"EQ303","1987/1988","1S",4,4,4,"DEQ"
"EQ310","1987/1988","2S",2,2,2,"DEQ"
"EQ403","1987/1988","1S",2,2,2,"DEQ"
"EQ425","1987/1988","12",1,1,1,"DEQ"
"EQ503","1987/1988","1S",1,1,1,"DEQ"
"EC112","1988/1989","12",47,47,47,"DEC"
"EC114","1988/1989","12",1,1,1,"DEC"
"EC211","1988/1989","12",24,24,24,"DEC"
"EC213","1988/1989","12",24,24,24,"DEC"
"GEI202","1991/1992","A",17,17,17,"DEMEGI"
"MEEC1026","1991/1992","1S",1,1,1,"DEEC"
"CPG106","1992/1993","12",4,,,""
"CPG110","1992/1993","12",3,,,""
"DEM6000","1992/1993","12",5,,,""
"EC102","1992/1993","1S",263,210,145,"DEC"
"EC108","1992/1993","2S",147,113,42,"DEC"
"EC204","1992/1993","1S",261,160,104,"DEC"
"EC211","1992/1993","12",332,154,94,"DEC"
"EC308","1992/1993","12",259,122,98,"DEC"
"EC408","1992/1993","12",194,154,76,"DEC"
"EC416","1992/1993","12",33,28,27,"DEC"
"EC419","1992/1993","1S",31,29,29,"DEC"
"EC421","1992/1993","12",9,2,2,"DEC"
"EC511","1992/1993","12",133,93,73,"DEC"
"EC518","1992/1993","1S",32,32,32,"DEC"
"EIC1203","2000/2001","2S",145,78,54,""
"MGI1201","2000/2001","2S",18,15,15,"DEEC"
"MPPAU1115","2000/2001","2S",11,6,6,""
"MGI1203","2000/2001","2S",18,16,16,"DEEC"
"EC127","1965/1966","12",1,1,1,"DEC"
"EEC529","1995/1996","1S",23,20,20,"DEEC"
"EEC530","1995/1996","2S",42,34,32,"DEEC"
"EEC537","1995/1996","1S",40,30,29,"DEEC"
"EEC539","1995/1996","1S",33,31,29,"DEEC"
